GnPR,treeDensity,park_grass_ratio,parcel_grass_ratio,greenroof_ratio,roadDensity,bldDensity,avg_BH,avg_GPR,UHI_d
0.785755,0,0.088338,0.697417,0.0,0.3,7,38.2,1.185409,0.155548
0.88223,0,0.093058,0.789172,0.0,0.3,7,69.9,1.929488,0.173539
0.879812,0,0.093067,0.786745,0.0,0.3,7,75.3,1.763668,0.165845
0.781359,0,0.07787,0.703489,0.0,0.3,7,35.0,1.2145,0.155388
0.814562,0,0.076933,0.737629,0.0,0.3,7,53.0,1.696084,0.171975
0.794862,0,0.173354,0.621508,0.0,0.3,7,42.0,1.311535,0.152831
0.785755,0,0.088338,0.697417,0.0,0.3,7,37.9,1.182191,0.155342
0.817414,0,0.088346,0.729068,0.0,0.3,7,53.4,1.733296,0.169886
0.703465,0,0.029264,0.674201,0.0,0.8,7,36.6,1.109668,0.15371
0.746783,0,0.0,0.746783,0.0,0.8,7,51.9,1.659466,0.171804
0.795683,0,0.0,0.795683,0.0,0.8,7,63.7,1.967908,0.177009
0.819432,0,0.0,0.819432,0.0,0.8,7,74.5,1.939966,0.173379
0.859545,0,0.076934,0.782611,0.0,0.8,7,91.7,1.890082,0.158676
0.704371,0,0.017183,0.687188,0.0,0.8,7,37.6,1.066172,0.153721
0.747144,0,0.0,0.747144,0.0,0.8,7,53.8,1.643691,0.172877
0.796342,0,0.0,0.796342,0.0,0.8,7,64.1,1.861344,0.176758
0.819084,0,0.0,0.819084,0.0,0.8,7,73.9,1.905498,0.173333
0.857112,0,0.0,0.857112,0.0,0.8,7,90.5,1.710075,0.161153
0.700974,0,0.015661,0.685313,0.0,0.8,7,35.5,1.063305,0.154178
0.747095,0,0.0,0.747095,0.0,0.8,7,50.1,1.646996,0.169909
0.796074,0,0.0,0.796074,0.0,0.8,7,64.5,1.926026,0.177169
0.823384,0,0.045994,0.77739,0.0,0.8,7,77.1,1.974203,0.17089
0.859545,0,0.091245,0.7683,0.0,0.8,7,99.6,2.008925,0.161872
0.705557,0,0.029264,0.676293,0.0,0.8,7,36.9,1.089386,0.152751
0.757211,0,0.072776,0.684435,0.0,0.8,7,55.9,1.649499,0.166849
0.807025,0,0.07693,0.730095,0.0,0.8,7,75.8,2.191697,0.174737
0.827886,0,0.072791,0.755095,0.0,0.8,7,74.9,1.845926,0.165103
0.708513,0,0.043355,0.665158,0.0,0.8,7,37.6,1.022311,0.151267
0.756235,0,0.075955,0.68028,0.0,0.8,7,59.9,1.764995,0.170708
0.807408,0,0.095462,0.711946,0.0,0.8,7,68.9,1.924714,0.170023
0.83015,0,0.119667,0.710483,0.0,0.8,7,80.0,2.093125,0.165183
0.864561,0,0.121947,0.742614,0.0,0.8,7,97.7,1.826479,0.154692
0.703619,0,0.032258,0.671361,0.0,0.8,7,38.8,1.099485,0.155114
0.757132,0,0.055418,0.701714,0.0,0.8,7,57.6,1.722489,0.168002
0.806054,0,0.082933,0.723121,0.0,0.8,7,71.9,2.03703,0.173368
0.828,0,0.088649,0.739351,0.0,0.8,7,81.7,1.953513,0.168527
0.706514,0,0.046107,0.660407,0.0,0.8,7,35.1,1.088146,0.151016
0.828545,0,0.072791,0.755754,0.0,0.8,7,75.2,1.826449,0.164578
0.713444,0,0.083981,0.629463,0.0,0.8,7,35.5,1.04711,0.147329
0.75811,0,0.098406,0.659704,0.0,0.8,7,60.7,1.812578,0.169486
0.806692,0,0.095462,0.71123,0.0,0.8,7,68.7,1.941447,0.170411
0.708158,0,0.074712,0.633446,0.0,0.8,7,37.0,1.116357,0.151416
0.761403,0,0.078687,0.682716,0.0,0.8,7,58.0,1.722618,0.164897
0.805337,0,0.082933,0.722404,0.0,0.8,7,71.7,2.058544,0.173984
0.711684,0,0.066283,0.645401,0.0,0.8,7,36.7,1.071742,0.149167
0.829262,0,0.072791,0.756471,0.0,0.8,7,75.6,1.80775,0.164064
0.721285,0,0.151159,0.570126,0.0,0.8,7,43.6,1.168769,0.14758
0.762782,0,0.119005,0.643777,0.0,0.8,7,64.4,1.864684,0.168082
0.808429,0,0.124305,0.684124,0.0,0.8,7,69.0,2.061253,0.169224
0.708817,0,0.074712,0.634105,0.0,0.8,7,36.9,1.102538,0.150936
0.762062,0,0.078687,0.683375,0.0,0.8,7,57.9,1.702561,0.164121
0.710365,0,0.066283,0.644082,0.0,0.8,7,36.4,1.087525,0.149703
0.721449,0,0.170084,0.551365,0.0,0.8,7,43.3,1.220217,0.147237
0.707499,0,0.074712,0.632787,0.0,0.8,7,36.9,1.124636,0.151598
0.805337,0,0.082933,0.722404,0.0,0.8,7,71.6,2.049776,0.173893
0.772338,0,0.034899,0.737439,0.0,0.3,9,29.8,1.010002,0.154886
0.794646,0,0.0,0.794646,0.0,0.3,9,39.0,1.450839,0.171712
0.854738,0,0.0,0.854738,0.0,0.3,9,53.2,1.825479,0.181826
0.856273,0,0.0,0.856273,0.0,0.3,9,60.6,1.814594,0.177694
0.889635,0,0.079221,0.810414,0.0,0.3,9,79.3,1.948681,0.168436
0.771854,0,0.017184,0.75467,0.0,0.3,9,29.5,0.967027,0.154874
0.794384,0,0.0,0.794384,0.0,0.3,9,40.0,1.432338,0.172557
0.855419,0,0.0,0.855419,0.0,0.3,9,55.2,1.800042,0.183082
0.854144,0,0.0,0.854144,0.0,0.3,9,61.1,1.858997,0.179623
0.889635,0,0.0,0.889635,0.0,0.3,9,76.8,1.659427,0.166553
0.771223,0,0.020337,0.750886,0.0,0.3,9,28.8,0.942871,0.154406
0.791234,0,0.0,0.791234,0.0,0.3,9,38.0,1.458332,0.17234
0.854065,0,0.0,0.854065,0.0,0.3,9,52.5,1.783472,0.181986
0.858423,0,0.048911,0.809512,0.0,0.3,9,65.2,1.934355,0.179098
0.895569,0,0.093059,0.80251,0.0,0.3,9,82.7,1.804066,0.163253
0.807306,0,0.076933,0.730373,0.0,0.3,9,43.4,1.468684,0.168116
0.867804,0,0.079221,0.788583,0.0,0.3,9,61.8,2.012926,0.179852
0.858075,0,0.032606,0.825469,0.0,0.3,9,63.5,1.891537,0.178288
0.775662,0,0.043345,0.732317,0.0,0.3,9,30.7,0.971092,0.154041
0.806535,0,0.079094,0.727441,0.0,0.3,9,47.3,1.602312,0.172192
0.867144,0,0.101173,0.765971,0.0,0.3,9,59.1,1.866683,0.177945
0.865074,0,0.124679,0.740395,0.0,0.3,9,64.5,2.049798,0.173242
0.902535,0,0.126932,0.775603,0.0,0.3,9,88.8,1.765811,0.157705
0.774968,0,0.039873,0.735095,0.0,0.3,9,31.1,0.971205,0.154909
0.809632,0,0.061917,0.747715,0.0,0.3,9,44.0,1.448206,0.167055
