sim_no,UHI_d,asphalt_ratio,park_grass_ratio,parcel_grass_ratio,podium_grass_ratio,GnPR,TCR,greenroof_ratio,SCR,parcel_fp_ratio,podium_fp_ratio,tower_GFA,podium_GFA,total_GFA,avg_BH,avg_GPR,parcelArea,parkLocation,parkRadius,roadDensity,bldDensity,podiumDensity,treeDensity,roofType
8658,0.260571,0.111386,0.072791,0.4915,0.163623,0.727914,0.055062,0.139548,0.181839,0.039577,0.021145,1798900,279930.7246,2078800,71.4,2.167938,5,0,200,0.8,7,0.4,9,1
8659,0.267454,0.092195,0.076934,0.453482,0.229684,0.7601,0,0.128592,0.166819,0.029147,0.019114,1798700,274017.7566,2072700,87,2.182454,6,0,200,0.8,7,0.4,9,1
8660,0.197123,0.220688,0.083981,0.360088,0.191113,0.635182,0,0.116292,0.17197,0.03803,0.027839,893461.4407,245226.44,1138700,32.4,1.307611,2,42,200,0.8,7,0.4,9,1
8661,0.256621,0.167458,0.098406,0.430742,0.125174,0.654322,0.055044,0.150988,0.205455,0.047199,0.027234,1639700,302825.0223,1942500,57,2.192828,3,42,200,0.8,7,0.4,9,1
8662,0.302854,0.123344,0.095462,0.383999,0.168387,0.647848,0.057399,0.199303,0.258312,0.039743,0.029505,1739300,436975.1405,2176300,65.2,2.372212,4,42,200,0.8,7,0.4,9,1
8663,0.269315,0.111386,0.119667,0.444706,0.156893,0.721266,0.057672,0.14838,0.186304,0.039496,0.018962,1864300,295484.6605,2159800,76.2,2.433962,5,42,200,0.8,7,0.4,9,1
8664,0.259886,0.092195,0.121947,0.474121,0.177933,0.774001,0,0.118904,0.148702,0.028345,0.014899,1654700,243739.8475,1898400,93.3,2.098845,6,42,200,0.8,7,0.4,9,1
8665,0.204326,0.220688,0.074712,0.363234,0.188516,0.626462,0,0.125911,0.179791,0.043556,0.02694,979713.2706,252608.0086,1232300,33.9,1.366663,2,72,200,0.8,7,0.4,9,1
8666,0.246244,0.167458,0.078687,0.435416,0.148576,0.662679,0.058546,0.144604,0.195122,0.04588,0.025259,1546000,286556.7523,1832600,54.1,2.089243,3,72,200,0.8,7,0.4,9,1
8667,0.310285,0.123344,0.082933,0.380409,0.179896,0.643238,0,0.20615,0.260686,0.043334,0.027268,1934200,439332.1358,2373500,68.1,2.475976,4,72,200,0.8,7,0.4,9,1
8668,0.277557,0.111386,0.088649,0.435441,0.191325,0.715415,0.050649,0.152047,0.194337,0.039463,0.021145,1842900,309081.934,2152000,77.8,2.265531,5,72,200,0.8,7,0.4,9,1
8669,0.281084,0.092195,0.091245,0.46234,0.19741,0.750995,0.066026,0.138098,0.175524,0.029548,0.018713,1849200,294136.2629,2143300,94.5,2.338216,6,72,200,0.8,7,0.4,9,1
8670,0.203619,0.220688,0.066283,0.376886,0.183351,0.62652,0,0.124754,0.180832,0.03893,0.028039,922081.6421,263166.1811,1185200,33.5,1.340836,2,0,250,0.8,7,0.4,9,1
8671,0.260502,0.167458,0.072776,0.435183,0.13167,0.639629,0.055955,0.162032,0.223796,0.04445,0.030882,1550800,343137.7513,1893900,52.5,2.057543,3,0,250,0.8,7,0.4,9,1
8672,0.316667,0.123344,0.07693,0.405374,0.162997,0.645301,0,0.198625,0.264085,0.036901,0.03273,2007300,449432.7639,2456700,71.7,2.658371,4,0,250,0.8,7,0.4,9,1
8673,0.260365,0.111386,0.072791,0.492876,0.163623,0.72929,0.055561,0.138172,0.180463,0.038201,0.021145,1776800,279930.7246,2056700,72,2.129762,5,0,250,0.8,7,0.4,9,1
8674,0.267454,0.092195,0.076934,0.453482,0.229684,0.7601,0,0.128592,0.166819,0.029147,0.019114,1798700,274017.7566,2072700,87,2.182454,6,0,250,0.8,7,0.4,9,1
8675,0.199075,0.220688,0.151159,0.317074,0.181659,0.649892,0.074098,0.104943,0.153898,0.03355,0.024478,926963.8857,221580.3036,1148500,39.4,1.430299,2,42,250,0.8,7,0.4,9,1
8676,0.254384,0.167458,0.119005,0.414027,0.133409,0.666441,0,0.138939,0.193263,0.043314,0.027162,1682900,283791.7884,1966700,60.1,2.252499,3,42,250,0.8,7,0.4,9,1
8677,0.293642,0.123344,0.124305,0.38363,0.154182,0.662117,0.060178,0.186423,0.242652,0.040112,0.028114,1794500,403141.6323,2197600,65.6,2.478559,4,42,250,0.8,7,0.4,9,1
8678,0.267877,0.111386,0.119667,0.444706,0.15917,0.723543,0.059613,0.146103,0.184028,0.039496,0.018962,1864300,290223.1127,2154500,76.2,2.427327,5,42,250,0.8,7,0.4,9,1
8679,0.256142,0.092195,0.121947,0.474121,0.182398,0.778466,0,0.114439,0.144237,0.028345,0.014899,1654700,233420.711,1888100,93.3,2.089948,6,42,250,0.8,7,0.4,9,1
8680,0.204521,0.220688,0.074712,0.362575,0.188516,0.625803,0,0.12657,0.18045,0.044215,0.02694,985809.2706,252608.0086,1238400,33.8,1.374943,2,72,250,0.8,7,0.4,9,1
8681,0.247169,0.167458,0.078687,0.435416,0.14727,0.661373,0.058453,0.14591,0.196429,0.04588,0.025259,1546000,289575.9471,1835600,54.1,2.092602,3,72,250,0.8,7,0.4,9,1
8682,0.304441,0.123344,0.082933,0.380409,0.18876,0.652102,0,0.196569,0.252539,0.043334,0.027985,1949100,418845.7428,2367900,67.9,2.483043,4,72,250,0.8,7,0.4,9,1
8683,0.281587,0.111386,0.088649,0.435441,0.185593,0.709683,0.050447,0.157779,0.20007,0.039463,0.021145,1842900,322330.6059,2165200,77.8,2.276644,5,72,250,0.8,7,0.4,9,1
8684,0.281084,0.092195,0.091245,0.46234,0.19741,0.750995,0.066057,0.138098,0.175524,0.029548,0.018713,1849200,294136.2629,2143300,94.5,2.338216,6,72,250,0.8,7,0.4,9,1
8685,0.204121,0.220688,0.066283,0.375567,0.183351,0.625201,0,0.126072,0.18215,0.040248,0.028039,937321.6421,263166.1811,1200500,33.4,1.358548,2,0,300,0.8,7,0.4,9,1
8686,0.259909,0.167458,0.072776,0.435183,0.132697,0.640656,0.055394,0.161005,0.222769,0.04445,0.030882,1550800,340763.6194,1891600,52.5,2.055311,3,0,300,0.8,7,0.4,9,1
8687,0.311553,0.123344,0.07693,0.405374,0.17257,0.654874,0,0.189052,0.254512,0.036901,0.03273,2007300,427306.5829,2434600,71.7,2.642202,4,0,300,0.8,7,0.4,9,1
8688,0.260354,0.111386,0.072791,0.49216,0.163623,0.728574,0.055265,0.138889,0.18118,0.038918,0.021145,1786700,279930.7246,2066600,71.7,2.148461,5,0,300,0.8,7,0.4,9,1
